Datum;Liga;Typ;Runde;Heim;Gast;Heim_Link;Gast_Link;Spielort_Name;Adresse;Latitude;Longitude;Quelle;link
2026-03-29 10:00:00;WFV-LIGA U10 B;Mann;18. Runde;Sportunion Mauer B;1.Simmeringer SC B;https://vereine.oefb.at/SportunionMauer/Mannschaften/Saison-2025-26/U10-B/Kader/;https://vereine.oefb.at/1SimmeringerSportclub/Mannschaften/Saison-2025-26/U10-B/Kader/;Union Mauer;Erhardg. 2, 1230 Wien;48.155411;16.277243;https://www.oefb.at/bewerbe/Spiel/3908454/?Sportunion-Mauer-B-vs-1-Simmeringer-SC-B;https://www.oefb.at/bewerbe/Spiel/3908454/?Sportunion-Mauer-B-vs-1-Simmeringer-SC-B
2025-10-05 09:00:00;A-LIGA U9 B;Mann;6. Runde;Mannswörth;A11 - R.Oberlaa;https://vereine.oefb.at/scmannswoerth/Mannschaften/Saison-2025-26/U09/Kader/;https://vereine.oefb.at/Fca11ROberlaa/Mannschaften/Saison-2025-26/U09/Kader/;Mannswörth;Jägerhausg. 5, 2320 Mannswörth;48.146011;16.523132;https://www.oefb.at/bewerbe/Spiel/3914124/?Mannswoerth-vs-A11-R-Oberlaa;https://www.oefb.at/bewerbe/Spiel/3914124/?Mannswoerth-vs-A11-R-Oberlaa
2025-10-12 18:00:00;DSG LIGA;Mann;6. Runde;DSG Magic Unicorns;Dsg Spice Balls;https://vereine.oefb.at/DsgVtoMagicUnicorns/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgSpiceBalls/Mannschaften/Saison-2025-26/KM/Kader/;Rapid Oberlaa;Franzosenweg 34, 1100 Wien;48.139637;16.38679;https://www.oefb.at/bewerbe/Spiel/3871273/?DSG-Magic-Unicorns-vs-Dsg-Spice-Balls;https://www.oefb.at/bewerbe/Spiel/3871273/?DSG-Magic-Unicorns-vs-Dsg-Spice-Balls
2026-05-03 16:30:00;2. Landesliga U23;Mann;24. Runde;Essling;ASV 13;https://vereine.oefb.at/SvEssling/Mannschaften/Saison-2025-26/Res/Kader/;https://vereine.oefb.at/ASV13/Mannschaften/Saison-2025-26/Res/Kader/;Essling;Kirschenallee 2-4, 1220 Wien;48.214036;16.519334;https://www.oefb.at/bewerbe/Spiel/3913006/?Essling-vs-ASV-13;https://www.oefb.at/bewerbe/Spiel/3913006/?Essling-vs-ASV-13
2025-10-11 15:10:00;WFV-LIGA U14 B;Mann;7. Runde;TWL Elektra B;LAC - Inter B;https://vereine.oefb.at/TWLElektra/Mannschaften/Saison-2025-26/U14-B/Kader/;https://vereine.oefb.at/LandstrasserAthletikClub/Mannschaften/Saison-2025-26/U14-B/Kader/;Rax-Platz;Raxstr. 3, 1100 Wien;48.165093;16.365973;https://www.oefb.at/bewerbe/Spiel/3888480/?TWL-Elektra-B-vs-LAC-Inter-B;https://www.oefb.at/bewerbe/Spiel/3888480/?TWL-Elektra-B-vs-LAC-Inter-B
2026-05-08 20:15:00;DSG Frauen/Mädchen;Frau;15. Runde;DSG Wiener SK Lation;DSG Twentyone;https://vereine.oefb.at/DsgWienerSkLation/Mannschaften/Saison-2025-26/KM-FR/Kader/;https://vereine.oefb.at/TwentyoneFC/Mannschaften/Saison-2025-26/KM-FR/Kader/;Marswiese;Neuwaldegger Str. 57a, 1170 Wien;48.240031;16.277565;https://www.oefb.at/bewerbe/Spiel/3873295/?DSG-Wiener-SK-Lation-vs-DSG-Twentyone;https://www.oefb.at/bewerbe/Spiel/3873295/?DSG-Wiener-SK-Lation-vs-DSG-Twentyone
2026-03-14 16:00:00;A-LIGA U17;Mann;12. Runde;Slovan HAC;1980 Wien;https://vereine.oefb.at/SkSlovanHacSanRaphael/Mannschaften/Saison-2025-26/U17/Kader/;https://vereine.oefb.at/Fc1980Wien/Mannschaften/Saison-2025-26/U17/Kader/;Slovan HAC;Steinbruchstr. 5a, 1140 Wien;48.204405;16.305012;https://www.oefb.at/bewerbe/Spiel/3883043/?Slovan-HAC-vs-1980-Wien;https://www.oefb.at/bewerbe/Spiel/3883043/?Slovan-HAC-vs-1980-Wien
2026-06-07 12:00:00;B-LIGA U13;Mann;22. Runde;Wiener Viktoria;A XIII Auhof Center;https://vereine.oefb.at/WienerViktoria/Mannschaften/Saison-2025-26/U13/Kader/;https://vereine.oefb.at/FvAustriaXiiiAuhofCenter/Mannschaften/Saison-2025-26/U13/Kader/;Wr. Viktoria;Oswaldg. 34, 1120 Wien;48.167696;16.324931;https://www.oefb.at/bewerbe/Spiel/3892394/?Wiener-Viktoria-vs-A-XIII-Auhof-Center;https://www.oefb.at/bewerbe/Spiel/3892394/?Wiener-Viktoria-vs-A-XIII-Auhof-Center
2026-03-01 11:30:00;WFV-LIGA U11 A;Mann;14. Runde;Sportunion Mauer A;Donau A;https://vereine.oefb.at/SportunionMauer/Mannschaften/Saison-2025-26/U11-A/Kader/;https://vereine.oefb.at/SVDonau/Mannschaften/Saison-2025-26/U11-A/Kader/;Union Mauer;Erhardg. 2, 1230 Wien;48.155411;16.277243;https://www.oefb.at/bewerbe/Spiel/3907915/?Sportunion-Mauer-A-vs-Donau-A;https://www.oefb.at/bewerbe/Spiel/3907915/?Sportunion-Mauer-A-vs-Donau-A
2026-03-29 09:00:00;WFV-LIGA U10 B;Mann;18. Runde;Post SV B;Essling C;https://vereine.oefb.at/PostSvWien/Mannschaften/Saison-2025-26/U10-B/Kader/;https://vereine.oefb.at/SvEssling/Mannschaften/Saison-2025-26/U10-C/Kader/;Post Sportanlage;Roggendorfg. 2, 1170 Wien;48.223531;16.32412;https://www.oefb.at/bewerbe/Spiel/3986982/?Post-SV-B-vs-Essling-C;https://www.oefb.at/bewerbe/Spiel/3986982/?Post-SV-B-vs-Essling-C
